source_id,ra,ra_error,parallax,parallax_error,bp_rp,phot_g_mean_mag,dec
4575010197472244352,257.61798192498975,0.022083214,42.7693802781868,0.0336765,3.8101501,15.399554,27.96901340642181
2141364423410899968,287.54500813575345,0.08016708,42.76930136829264,0.08692016,4.420084,17.732866,56.57527781466391
2617720998555821312,327.7002871859729,0.105933264,42.76742754142409,0.12152182,,14.001648,-10.653099624659127
1108529414127974656,113.00630679435544,0.011811159,42.75898635421328,0.02301913,2.0682554,10.050547,68.6204485992951
1491593733326694912,217.40433190949236,0.011826367,42.75261450326973,0.017370963,0.8549509,6.200569,41.79493324268516
2781872793183604096,12.244603356431734,0.084598124,42.750525128637356,0.1117029,0.68561316,4.9257455,16.93975243414144
4309224392703603584,287.42416676580297,0.01294349,42.75033032508492,0.0153054865,2.8640356,13.316129,9.81459765922654
6583325635088476544,320.5242595713073,0.043599032,42.74947275792763,0.055243127,1.0486422,16.338387,-38.64325210636569
5484571119849822464,98.8426354236729,0.012411687,42.745215550881625,0.013100291,1.9661341,10.289253,-57.626200472451195
462185901790089856,51.63079051777535,0.25445768,42.74373646250192,0.38195512,3.0431108,13.578607,59.147404698833
1822370978937299456,301.92854361848174,0.0153849125,42.74249744301019,0.020908142,2.767274,12.324793,18.98254820269103
3778200992769095808,160.57077186109572,0.03709654,42.73883166246359,0.04116205,3.501687,15.141143,-3.395620037948104
4301201801807687680,295.81498789440997,0.018012531,42.735009999742175,0.027719507,2.7711983,12.409989,8.56838408246281
2430102808294101760,4.676323038587316,0.02550075,42.73076832887228,0.029850889,0.8331771,6.307263,-8.05364062584043
4535144998232287232,278.3231533905175,0.0060996865,42.72506415242634,0.014197411,1.3698068,8.499124,22.312152825480883
6842831888437047680,324.0694778922574,0.019375183,42.72462937260394,0.024649557,0.14475632,13.654009,-13.31021599573587
6357835694518769408,336.46413245764546,0.016309217,42.72192096886215,0.019622486,0.76793003,5.9771047,-75.01563081404817
5605383430285597696,110.71580901059795,0.04731998,42.719650268978846,0.06726724,1.0535984,17.421335,-30.707895364310183
5159135847194297600,45.95043389389092,0.034640938,42.71715126201497,0.04261911,2.6978645,12.116814,-12.855834514595065
1928108370769224704,344.41706906765364,0.05935595,42.7078767077444,0.101582915,3.005721,13.763308,37.32099623917873
4535145719786807552,278.31066588515415,0.009186259,42.69829613484298,0.021656951,3.3182478,14.3982935,22.319399994574926
5077642283022422656,41.68011941703263,0.008425307,42.692928256576536,0.014145568,1.7862883,9.6029415,-23.085985266586505
6357835488360338560,336.4861959864114,0.20829268,42.6919979094217,0.24791378,1.5011716,8.3805275,-75.01455673687933
1231853730673656960,213.83595129792405,0.02236878,42.687666501646,0.028379403,2.2804308,11.151246,15.383753153741132
3231329541480243968,70.1777964492316,0.068820395,42.68528061154101,0.08621043,2.170496,10.354219,2.231319154608499
